origin,cwe,location,id,msg,verbose,severity,label
Arduino,398,"{'file': 'post-17504-4.c', 'line': '23', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;now_&#039; shadows outer variable,Local variable &#039;now_&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-78405.c', 'line': '12', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;thispin&#039; shadows outer variable,Local variable &#039;thispin&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-71369-2.c', 'line': '182', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;x&#039; shadows outer variable,Local variable &#039;x&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-55265.c', 'line': '41', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;dutycycle_time&#039; shadows outer variable,Local variable &#039;dutycycle_time&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-76241.c', 'line': '39', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;evt&#039; shadows outer variable,Local variable &#039;evt&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-14050.c', 'line': '19', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;switchOneState&#039; shadows outer variable,Local variable &#039;switchOneState&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-44510.c', 'line': '19', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;foo&#039; shadows outer variable,Local variable &#039;foo&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-9539.c', 'line': '47', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;i&#039; shadows outer variable,Local variable &#039;i&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-36134.c', 'line': '8', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;idex&#039; shadows outer variable,Local variable &#039;idex&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-40316.c', 'line': '221', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;LOAD&#039; shadows outer variable,Local variable &#039;LOAD&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-9767.c', 'line': '21', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;myData&#039; shadows outer variable,Local variable &#039;myData&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-67155.c', 'line': '12', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;i&#039; shadows outer variable,Local variable &#039;i&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-78405.c', 'line': '6', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;thispin&#039; shadows outer variable,Local variable &#039;thispin&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-61130-2.c', 'line': '15', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;len&#039; shadows outer variable,Local variable &#039;len&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-71369.c', 'line': '145', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;x&#039; shadows outer variable,Local variable &#039;x&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-40316.c', 'line': '203', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;TPS&#039; shadows outer variable,Local variable &#039;TPS&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-51810.c', 'line': '60', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;data&#039; shadows outer variable,Local variable &#039;data&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-14050.c', 'line': '20', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;lastSwitchOneState&#039; shadows outer variable,Local variable &#039;lastSwitchOneState&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-71369.c', 'line': '168', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;x&#039; shadows outer variable,Local variable &#039;x&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-71369-2.c', 'line': '155', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;x&#039; shadows outer variable,Local variable &#039;x&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-18875.c', 'line': '32', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;randomnumber&#039; shadows outer variable,Local variable &#039;randomnumber&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-40316.c', 'line': '205', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;LOAD&#039; shadows outer variable,Local variable &#039;LOAD&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-75014.c', 'line': '13', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;openClose&#039; shadows outer variable,Local variable &#039;openClose&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-61477.c', 'line': '18', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;i&#039; shadows outer variable,Local variable &#039;i&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-71369.c', 'line': '123', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;x&#039; shadows outer variable,Local variable &#039;x&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-28138.c', 'line': '11', 'info': None}",uselessAssignmentArg,Assignment of function parameter has no effect outside the function.,Assignment of function parameter has no effect outside the function.,style,0
Arduino,398,"{'file': 'post-28137.c', 'line': '16', 'info': None}",uselessAssignmentArg,Assignment of function parameter has no effect outside the function.,Assignment of function parameter has no effect outside the function.,style,0
Arduino,398,"{'file': 'post-33809-2.c', 'line': '31', 'info': None}",variableScope,The scope of the variable &#039;ads1262Count&#039; can be reduced.,"The scope of the variable &#039;ads1262Count&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-76256.c', 'line': '13', 'info': None}",variableScope,The scope of the variable &#039;q&#039; can be reduced.,"The scope of the variable &#039;q&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-19007.c', 'line': '58', 'info': None}",variableScope,The scope of the variable &#039;pomask&#039; can be reduced.,"The scope of the variable &#039;pomask&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-18281.c', 'line': '53', 'info': None}",variableScope,The scope of the variable &#039;rcN&#039; can be reduced.,"The scope of the variable &#039;rcN&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-50135.c', 'line': '16', 'info': None}",variableScope,The scope of the variable &#039;pressedbutton&#039; can be reduced.,"The scope of the variable &#039;pressedbutton&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-23742-2.c', 'line': '6', 'info': None}",variableScope,The scope of the variable &#039;val&#039; can be reduced.,"The scope of the variable &#039;val&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-70949.c', 'line': '85', 'info': None}",variableScope,The scope of the variable &#039;cap&#039; can be reduced.,"The scope of the variable &#039;cap&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-43561.c', 'line': '84', 'info': None}",variableScope,The scope of the variable &#039;sample&#039; can be reduced.,"The scope of the variable &#039;sample&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-19109.c', 'line': '54', 'info': None}",variableScope,The scope of the variable &#039;rcT&#039; can be reduced.,"The scope of the variable &#039;rcT&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-22357-3.c', 'line': '59', 'info': None}",variableScope,The scope of the variable &#039;allFF&#039; can be reduced.,"The scope of the variable &#039;allFF&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-17614-4.c', 'line': '21', 'info': None}",variableScope,The scope of the variable &#039;data&#039; can be reduced.,"The scope of the variable &#039;data&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-18281.c', 'line': '52', 'info': None}",variableScope,The scope of the variable &#039;rcT&#039; can be reduced.,"The scope of the variable &#039;rcT&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-52241.c', 'line': '18', 'info': None}",variableScope,The scope of the variable &#039;escaped&#039; can be reduced.,"The scope of the variable &#039;escaped&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-81461.c', 'line': '18', 'info': None}",variableScope,The scope of the variable &#039;argument1&#039; can be reduced.,"The scope of the variable &#039;argument1&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-52241-2.c', 'line': '5', 'info': None}",variableScope,The scope of the variable &#039;escaped&#039; can be reduced.,"The scope of the variable &#039;escaped&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-45941.c', 'line': '3', 'info': None}",variableScope,The scope of the variable &#039;state&#039; can be reduced.,"The scope of the variable &#039;state&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-49155.c', 'line': '6', 'info': None}",variableScope,The scope of the variable &#039;i&#039; can be reduced.,"The scope of the variable &#039;i&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-30354-3.c', 'line': '37', 'info': None}",variableScope,The scope of the variable &#039;val&#039; can be reduced.,"The scope of the variable &#039;val&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-18221.c', 'line': '52', 'info': None}",variableScope,The scope of the variable &#039;rcT&#039; can be reduced.,"The scope of the variable &#039;rcT&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-49691.c', 'line': '6', 'info': None}",variableScope,The scope of the variable &#039;buffer&#039; can be reduced.,"The scope of the variable &#039;buffer&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-61130-4.c', 'line': '5', 'info': None}",variableScope,The scope of the variable &#039;float_chars&#039; can be reduced.,"The scope of the variable &#039;float_chars&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-52585-2.c', 'line': '22', 'info': None}",variableScope,The scope of the variable &#039;character&#039; can be reduced.,"The scope of the variable &#039;character&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-56049.c', 'line': '12', 'info': None}",variableScope,The scope of the variable &#039;error_count&#039; can be reduced.,"The scope of the variable &#039;error_count&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-17614-2.c', 'line': '4', 'info': None}",variableScope,The scope of the variable &#039;data&#039; can be reduced.,"The scope of the variable &#039;data&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-29137-2.c', 'line': '9', 'info': None}",variableScope,The scope of the variable &#039;position&#039; can be reduced.,"The scope of the variable &#039;position&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
Arduino,398,"{'file': 'post-52241-2.c', 'line': '4', 'info': None}",variableScope,The scope of the variable &#039;pos&#039; can be reduced.,"The scope of the variable &#039;pos&#039; can be reduced. Warning: Be careful when fixing this message, especially when there are inner loops. Here is an example where cppcheck will write that the scope for &#039;i&#039; can be reduced:
void f(int x)
{
    int i = 0;
    if (x) {
        // it&#039;s safe to move &#039;int i = 0;&#039; here
        for (int n = 0; n &lt; 10; ++n) {
            // it is possible but not safe to move &#039;int i = 0;&#039; here
            do_something(&amp;i);
        }
    }
}
When you see this message it is always safe to reduce the variable scope 1 level.",style,0
